dataset	column	value	description	is_missing_value	standardized_term	standardized_label
ds004186	gender	1				
ds004186	gender	0				
ds004186	commercial_use	No	Subject did not give consent to commercial use of data			
ds004186	commercial_use	Yes	Subject gave consent to commercial use of data			
ds004186	full_pheno	Yes	Subject has full phenotypic file			
ds004186	full_pheno	No	Subject does not have full phenotypic file			
ds005752	release_1	1	Present			
ds005752	release_1	0	Not Present			
ds005752	release_2	0	Not Present			
ds005752	release_2	1	Present			
ds005752	sex	female	Female		snomed:248152002	Female
ds005752	sex	male	Male		snomed:248153007	Male
ds005752	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds005752	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds005752	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds005752	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds005752	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds005752	eligibility	0	Ineligible			
ds005752	eligibility	1	Eligible			
ds005752	MRI	0	Not Present			
ds005752	MRI	1	Present			
ds005752	MEG	0	Not Present			
ds005752	MEG	1	Present			
ds005752	ace	0	Not Present			
ds005752	ace	1	Present			
ds005752	acute_care	0	Not Present			
ds005752	acute_care	1	Present			
ds005752	audit	1	Present			
ds005752	audit	0	Not Present			
ds005752	bai	0	Not Present			
ds005752	bai	1	Present			
ds005752	bdi	0	Not Present			
ds005752	bdi	1	Present			
ds005752	big_five_personality	0	Not Present			
ds005752	big_five_personality	1	Present			
ds005752	blood_chemistry	0	Not Present			
ds005752	blood_chemistry	1	Present			
ds005752	btq	0	Not Present			
ds005752	btq	1	Present			
ds005752	cbc_with_differential	0	Not Present			
ds005752	cbc_with_differential	1	Present			
ds005752	clinical_variable_form	0	Not Present			
ds005752	clinical_variable_form	1	Present			
ds005752	demographics	1	Present			
ds005752	demographics	0	Not Present			
ds005752	drug_use	1	Present			
ds005752	drug_use	0	Not Present			
ds005752	ehi	1	Present			
ds005752	ehi	0	Not Present			
ds005752	figs	0	Not Present			
ds005752	figs	1	Present			
ds005752	gad7	0	Not Present			
ds005752	gad7	1	Present			
ds005752	health_history_checklist_year_1	0	Not Present			
ds005752	health_history_checklist_year_1	1	Present			
ds005752	health_history_questions	1	Present			
ds005752	health_history_questions	0	Not Present			
ds005752	health_rating	1	Present			
ds005752	health_rating	0	Not Present			
ds005752	hematology	0	Not Present			
ds005752	hematology	1	Present			
ds005752	hepatic	0	Not Present			
ds005752	hepatic	1	Present			
ds005752	infectious_disease	0	Not Present			
ds005752	infectious_disease	1	Present			
ds005752	kbit2_vas	0	Not Present			
ds005752	kbit2_vas	1	Present			
ds005752	lipid	0	Not Present			
ds005752	lipid	1	Present			
ds005752	mental_health_questions	1	Present			
ds005752	mental_health_questions	0	Not Present			
ds005752	mri_variables	0	Not Present			
ds005752	mri_variables	1	Present			
ds005752	nih_toolbox	0	Not Present			
ds005752	nih_toolbox	1	Present			
ds005752	other	0	Not Present			
ds005752	other	1	Present			
ds005752	perceived_health_rating	0	Not Present			
ds005752	perceived_health_rating	1	Present			
ds005752	phq9	0	Not Present			
ds005752	phq9	1	Present			
ds005752	satisfaction	0	Not Present			
ds005752	satisfaction	1	Present			
ds005752	scid5	0	Not Present			
ds005752	scid5	1	Present			
ds005752	urinalysis	0	Not Present			
ds005752	urinalysis	1	Present			
ds005752	urine_chemistry	0	Not Present			
ds005752	urine_chemistry	1	Present			
ds005752	vitamin_levels	0	Not Present			
ds005752	vitamin_levels	1	Present			
ds005752	whodas	1	Present			
ds005752	whodas	0	Not Present			
ds004889	sex	M	male		snomed:248153007	Male
ds004889	sex	F	female		snomed:248152002	Female
ds004889	sex	n/a		True		
ds004889	race	w	White			
ds004889	race	n/a		True		
ds004889	race	b	Black or African American			
ds004889	acuteischaemicstroke	1	Acute ischemic stroke			
ds004889	acuteischaemicstroke	n/a		True		
ds004889	priorstroke	0	No chronic stroke			
ds004889	priorstroke	1	Previous chronic stroke			
ds004889	priorstroke	n/a		True		
ds004889	gs_rankin_6isdeath	n/a		True		
ds004889	gs_rankin_6isdeath	6				
ds004889	gs_rankin_6isdeath	4				
ds004889	gs_rankin_6isdeath	0				
ds004889	gs_rankin_6isdeath	2				
ds004889	gs_rankin_6isdeath	3				
ds004889	gs_rankin_6isdeath	1				
ds004889	gs_rankin_6isdeath	5				
ds004889	etiology	2: Cardioembolism (e.g., atrial fibrillation/flutter, prosthetic heart valve, recent MI)				
ds004889	etiology	5: Cryptogenic Stroke				
ds004889	etiology	3: Small-vessel disease (e.g., Subcortical or brain stem lacunar infarction <1.5 cm)				
ds004889	etiology	n/a		True		
ds004889	etiology	1: Large-artery atherosclerosis (e.g., carotid or basilar artery stenosis)				
ds004889	etiology	4: Stroke of other determined etiology				
ds004169	sex	M	male		snomed:248153007	Male
ds004169	sex	F	female		snomed:248152002	Female
ds004169	handedness	right	right			
ds004169	ses01_T1w_acq	1	coronal			
ds004169	ses01_T1w_acq	2	sagittal			
ds004169	ses02_T1w_acq	n/a		True		
ds004169	ses02_T1w_acq	1	coronal			
ds004169	ses02_T1w_acq	2	sagittal			
ds004169	nback_seq	1	1000 milliseconds			
ds004169	nback_seq	2	1500 milliseconds			
ds004169	nback_seq	n/a		True		
ds004169	group	n/a		True		
ds004169	group	1	test-retest			
ds004169	group	2	longitudinal			
ds004131	sex	female	Female		snomed:248152002	Female
ds004131	sex	male	Male		snomed:248153007	Male
ds004131	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds004131	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds004131	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds004131	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds004131	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds004131	eligibility	0	Ineligible			
ds004131	eligibility	1	Eligible			
ds004131	MRI	0	Not Present			
ds004131	MRI	1	Present			
ds004131	MEG	0	Not Present			
ds004131	MEG	1	Present			
ds004131	ace	0	Not Present			
ds004131	ace	1	Present			
ds004131	acute_care	0	Not Present			
ds004131	acute_care	1	Present			
ds004131	audit	1	Present			
ds004131	audit	0	Not Present			
ds004131	bai	0	Not Present			
ds004131	bai	1	Present			
ds004131	bdi	0	Not Present			
ds004131	bdi	1	Present			
ds004131	blood_chemistry	0	Not Present			
ds004131	blood_chemistry	1	Present			
ds004131	cbc_with_differential	0	Not Present			
ds004131	cbc_with_differential	1	Present			
ds004131	clinical_variable_form	0	Not Present			
ds004131	clinical_variable_form	1	Present			
ds004131	demographics	1	Present			
ds004131	drug_use	1	Present			
ds004131	drug_use	0	Not Present			
ds004131	ehi	1	Present			
ds004131	ehi	0	Not Present			
ds004131	figs	0	Not Present			
ds004131	figs	1	Present			
ds004131	health_history_questions	1	Present			
ds004131	health_history_questions	0	Not Present			
ds004131	health_rating	1	Present			
ds004131	health_rating	0	Not Present			
ds004131	hematology	0	Not Present			
ds004131	hematology	1	Present			
ds004131	hepatic	0	Not Present			
ds004131	hepatic	1	Present			
ds004131	infectious_disease	0	Not Present			
ds004131	infectious_disease	1	Present			
ds004131	kbit2_vas	0	Not Present			
ds004131	kbit2_vas	1	Present			
ds004131	lipid	0	Not Present			
ds004131	lipid	1	Present			
ds004131	mental_health_questions	1	Present			
ds004131	mental_health_questions	0	Not Present			
ds004131	mri_variables	0	Not Present			
ds004131	mri_variables	1	Present			
ds004131	nih_toolbox	0	Not Present			
ds004131	nih_toolbox	1	Present			
ds004131	other	0	Not Present			
ds004131	other	1	Present			
ds004131	perceived_health_rating	0	Not Present			
ds004131	perceived_health_rating	1	Present			
ds004131	satisfaction	0	Not Present			
ds004131	satisfaction	1	Present			
ds004131	scid5	0	Not Present			
ds004131	scid5	1	Present			
ds004131	urinalysis	0	Not Present			
ds004131	urinalysis	1	Present			
ds004131	urine_chemistry	0	Not Present			
ds004131	urine_chemistry	1	Present			
ds004131	vitamin_levels	0	Not Present			
ds004131	vitamin_levels	1	Present			
ds004131	whodas	1	Present			
ds004131	whodas	0	Not Present			
ds004129	sex	female	Female		snomed:248152002	Female
ds004129	sex	male	Male		snomed:248153007	Male
ds004129	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds004129	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds004129	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds004129	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds004129	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds004129	eligibility	0	Ineligible			
ds004129	eligibility	1	Eligible			
ds004129	MRI	0	Not Present			
ds004129	MRI	1	Present			
ds004129	MEG	0	Not Present			
ds004129	MEG	1	Present			
ds004129	ace	0	Not Present			
ds004129	ace	1	Present			
ds004129	acute_care	0	Not Present			
ds004129	acute_care	1	Present			
ds004129	audit	1	Present			
ds004129	audit	0	Not Present			
ds004129	bai	0	Not Present			
ds004129	bai	1	Present			
ds004129	bdi	0	Not Present			
ds004129	bdi	1	Present			
ds004129	blood_chemistry	0	Not Present			
ds004129	blood_chemistry	1	Present			
ds004129	cbc_with_differential	0	Not Present			
ds004129	cbc_with_differential	1	Present			
ds004129	clinical_variable_form	0	Not Present			
ds004129	clinical_variable_form	1	Present			
ds004129	demographics	1	Present			
ds004129	drug_use	1	Present			
ds004129	drug_use	0	Not Present			
ds004129	ehi	1	Present			
ds004129	ehi	0	Not Present			
ds004129	figs	0	Not Present			
ds004129	figs	1	Present			
ds004129	health_history_questions	1	Present			
ds004129	health_history_questions	0	Not Present			
ds004129	health_rating	1	Present			
ds004129	health_rating	0	Not Present			
ds004129	hematology	0	Not Present			
ds004129	hematology	1	Present			
ds004129	hepatic	0	Not Present			
ds004129	hepatic	1	Present			
ds004129	infectious_disease	0	Not Present			
ds004129	infectious_disease	1	Present			
ds004129	kbit2_vas	0	Not Present			
ds004129	kbit2_vas	1	Present			
ds004129	lipid	0	Not Present			
ds004129	lipid	1	Present			
ds004129	mental_health_questions	1	Present			
ds004129	mental_health_questions	0	Not Present			
ds004129	mri_variables	0	Not Present			
ds004129	mri_variables	1	Present			
ds004129	nih_toolbox	0	Not Present			
ds004129	nih_toolbox	1	Present			
ds004129	other	0	Not Present			
ds004129	other	1	Present			
ds004129	perceived_health_rating	0	Not Present			
ds004129	perceived_health_rating	1	Present			
ds004129	satisfaction	0	Not Present			
ds004129	satisfaction	1	Present			
ds004129	scid5	0	Not Present			
ds004129	scid5	1	Present			
ds004129	urinalysis	0	Not Present			
ds004129	urinalysis	1	Present			
ds004129	urine_chemistry	0	Not Present			
ds004129	urine_chemistry	1	Present			
ds004129	vitamin_levels	0	Not Present			
ds004129	vitamin_levels	1	Present			
ds004129	whodas	1	Present			
ds004129	whodas	0	Not Present			
ds004130	sex	female	Female		snomed:248152002	Female
ds004130	sex	male	Male		snomed:248153007	Male
ds004130	sex	n/a	No response, meaning there was no response from participant though a response was possible. Question may have been skipped over by participant.	True		
ds004130	handedness	right	Right-handedness (Laterality Quotient between 40 and 100)			
ds004130	handedness	left	Left-handedness (Laterality Quotient between -100 and -40)			
ds004130	handedness	ambidextrous	Ambidexterity (Laterality Quotient between -40 and 40)			
ds004130	handedness	n/a	No data available for a response.  The question was not presented or asked to the participant.	True		
ds004130	eligibility	0	Ineligible			
ds004130	eligibility	1	Eligible			
ds004130	MRI	0	Not Present			
ds004130	MRI	1	Present			
ds004130	MEG	0	Not Present			
ds004130	MEG	1	Present			
ds004130	ace	0	Not Present			
ds004130	ace	1	Present			
ds004130	acute_care	0	Not Present			
ds004130	acute_care	1	Present			
ds004130	audit	1	Present			
ds004130	audit	0	Not Present			
ds004130	bai	0	Not Present			
ds004130	bai	1	Present			
ds004130	bdi	0	Not Present			
ds004130	bdi	1	Present			
ds004130	blood_chemistry	0	Not Present			
ds004130	blood_chemistry	1	Present			
ds004130	cbc_with_differential	0	Not Present			
ds004130	cbc_with_differential	1	Present			
ds004130	clinical_variable_form	0	Not Present			
ds004130	clinical_variable_form	1	Present			
ds004130	demographics	1	Present			
ds004130	drug_use	1	Present			
ds004130	drug_use	0	Not Present			
ds004130	ehi	1	Present			
ds004130	ehi	0	Not Present			
ds004130	figs	0	Not Present			
ds004130	figs	1	Present			
ds004130	health_history_questions	1	Present			
ds004130	health_history_questions	0	Not Present			
ds004130	health_rating	1	Present			
ds004130	health_rating	0	Not Present			
ds004130	hematology	0	Not Present			
ds004130	hematology	1	Present			
ds004130	hepatic	0	Not Present			
ds004130	hepatic	1	Present			
ds004130	infectious_disease	0	Not Present			
ds004130	infectious_disease	1	Present			
ds004130	kbit2_vas	0	Not Present			
ds004130	kbit2_vas	1	Present			
ds004130	lipid	0	Not Present			
ds004130	lipid	1	Present			
ds004130	mental_health_questions	1	Present			
ds004130	mental_health_questions	0	Not Present			
ds004130	mri_variables	0	Not Present			
ds004130	mri_variables	1	Present			
ds004130	nih_toolbox	0	Not Present			
ds004130	nih_toolbox	1	Present			
ds004130	other	0	Not Present			
ds004130	other	1	Present			
ds004130	perceived_health_rating	0	Not Present			
ds004130	perceived_health_rating	1	Present			
ds004130	satisfaction	0	Not Present			
ds004130	satisfaction	1	Present			
ds004130	scid5	0	Not Present			
ds004130	scid5	1	Present			
ds004130	urinalysis	0	Not Present			
ds004130	urinalysis	1	Present			
ds004130	urine_chemistry	0	Not Present			
ds004130	urine_chemistry	1	Present			
ds004130	vitamin_levels	0	Not Present			
ds004130	vitamin_levels	1	Present			
ds004130	whodas	1	Present			
ds004130	whodas	0	Not Present			
ds003097	sex	female			snomed:248152002	Female
ds003097	sex	male			snomed:248153007	Male
ds003097	handedness	right	Right-handed			
ds003097	handedness	left	Left-handed			
ds003097	education_level	medium	medium			
ds003097	education_level	high	high			
ds003097	education_level	low	low			
ds003097	background_SES	2.0				
ds003097	background_SES	5.5				
ds003097	background_SES	3.0				
ds003097	background_SES	5.0				
ds003097	background_SES	4.5				
ds003097	background_SES	2.5				
ds003097	background_SES	4.0				
ds003097	background_SES	3.5				
ds003097	background_SES	6.0				
ds003097	sexual_attraction_M	7.0				
ds003097	sexual_attraction_M	6.0				
ds003097	sexual_attraction_M	1.0				
ds003097	sexual_attraction_M	n/a		True		
ds003097	sexual_attraction_M	2.0				
ds003097	sexual_attraction_M	5.0				
ds003097	sexual_attraction_M	4.0				
ds003097	sexual_attraction_M	3.0				
ds003097	sexual_attraction_F	1.0				
ds003097	sexual_attraction_F	3.0				
ds003097	sexual_attraction_F	2.0				
ds003097	sexual_attraction_F	7.0				
ds003097	sexual_attraction_F	n/a		True		
ds003097	sexual_attraction_F	6.0				
ds003097	sexual_attraction_F	5.0				
ds003097	sexual_attraction_F	4.0				
ds003097	gender_identity_M	1.0				
ds003097	gender_identity_M	2.0				
ds003097	gender_identity_M	6.0				
ds003097	gender_identity_M	n/a		True		
ds003097	gender_identity_M	7.0				
ds003097	gender_identity_M	5.0				
ds003097	gender_identity_M	4.0				
ds003097	gender_identity_M	3.0				
ds003097	gender_identity_F	7.0				
ds003097	gender_identity_F	6.0				
ds003097	gender_identity_F	1.0				
ds003097	gender_identity_F	n/a		True		
ds003097	gender_identity_F	2.0				
ds003097	gender_identity_F	3.0				
ds003097	gender_identity_F	5.0				
ds003097	gender_identity_F	4.0				
ds003097	religious_upbringing	no	Not religious			
ds003097	religious_upbringing	yes	Religious			
ds003097	religious_now	yes	Religious at the moment of testing			
ds003097	religious_now	no	Not religious at the moment of testing			
ds003097	religious_importance	2.0				
ds003097	religious_importance	n/a		True		
ds003097	religious_importance	3.0				
ds003097	religious_importance	4.0				
ds003097	religious_importance	1.0				
ds003097	religious_importance	5.0				
ds004114	session_id	ses-1				
ds004114	session_id	ses-2				
ds004114	rat_strain	Long Evans				
ds004114	rat_strain	Sprague Dawley				
ds004114	rat_strain	Wistar				
ds004114	rat_strain	Fischer 344				
ds004114	rat_strain	Lister Hooded				
ds004114	rat_sex	Male				
ds004114	rat_sex	Female				
ds004114	anesthesia_induction	isoflurane				
ds004114	anesthesia_induction	isoflurane / medetomidine				
ds004114	anesthesia_induction	ketamine / xylazine				
ds004114	anesthesia_induction	urethane				
ds004114	anesthesia_induction	awake				
ds004114	anesthesia_induction	isofluorane				
ds004114	anesthesia_maintenance	urethane				
ds004114	anesthesia_maintenance	isoflurane				
ds004114	anesthesia_maintenance	isoflurane / medetomidine				
ds004114	anesthesia_maintenance	medetomidine				
ds004114	anesthesia_maintenance	awake				
ds004114	anesthesia_maintenance	alpha-chloralose				
ds004114	anesthesia_route	n/a		True		
ds004114	anesthesia_route	s.c				
ds004114	anesthesia_route	i.p				
ds004114	anesthesia_route	i.v.				
ds004114	anesthesia_route	i.v				
ds004114	anesthesia_breathing_assistance	free-breathing				
ds004114	anesthesia_breathing_assistance	ventilated				
ds004114	anesthesia_breathing_assistance	n/a		True		
ds004114	MRI_vendor	Bruker				
ds004114	MRI_vendor	Varian/Agilent				
ds004114	MRI_vendor	Magnex Scientific				
ds004114	MRI_field_strength	9.4				
ds004114	MRI_field_strength	7				
ds004114	MRI_field_strength	11.7				
ds004114	MRI_field_strength	14.1				
ds004114	MRI_field_strength	4.7				
ds004114	MRI_field_strength	3				
ds004114	func_sequence	GE-EPI				
ds004114	func_sequence	SE-EPI				
ds005385	sex	F	female		snomed:248152002	Female
ds005385	sex	M	male		snomed:248153007	Male
ds005385	handedness	right	Right handed (LQ > 0)			
ds005385	handedness	left	Left handed (LQ <= 0)			
ds005385	handedness	n/a		True		
ds005385	session1	yes				
ds005385	session2	yes				
ds005385	session2	no				
ds005385	late_ses2	0				
ds005385	late_ses2	n/a		True		
ds005385	late_ses2	5				
ds005385	late_ses2	2				
ds005385	late_ses2	1				
ds005385	late_ses2	3				
ds005385	late_ses2	19				
ds005385	late_ses2	136				
ds004605	sex	1	male		snomed:248153007	Male
ds004605	sex	-1	female		snomed:248152002	Female
ds005515	release_number	R10				
ds005515	sex	M	Male		snomed:248153007	Male
ds005515	sex	F	Female		snomed:248152002	Female
ds005515	commercial_use	Yes	Subject gave consent to commercial use of data			
ds005515	full_pheno	No				
ds005515	full_pheno	Yes				
ds005515	RestingState	available				
ds005515	RestingState	caution				
ds005515	RestingState	unavailable				
ds005515	DespicableMe	available				
ds005515	DespicableMe	unavailable				
ds005515	DespicableMe	caution				
ds005515	FunwithFractals	available				
ds005515	FunwithFractals	unavailable				
ds005515	FunwithFractals	caution				
ds005515	ThePresent	unavailable				
ds005515	ThePresent	available				
ds005515	ThePresent	caution				
ds005515	DiaryOfAWimpyKid	available				
ds005515	DiaryOfAWimpyKid	caution				
ds005515	DiaryOfAWimpyKid	unavailable				
ds005515	contrastChangeDetection_1	unavailable				
ds005515	contrastChangeDetection_1	caution				
ds005515	contrastChangeDetection_1	available				
ds005515	contrastChangeDetection_2	unavailable				
ds005515	contrastChangeDetection_2	caution				
ds005515	contrastChangeDetection_2	available				
ds005515	contrastChangeDetection_3	caution				
ds005515	contrastChangeDetection_3	unavailable				
ds005515	contrastChangeDetection_3	available				
ds005515	surroundSupp_1	caution				
ds005515	surroundSupp_1	unavailable				
ds005515	surroundSupp_1	available				
ds005515	surroundSupp_2	unavailable				
ds005515	surroundSupp_2	caution				
ds005515	surroundSupp_2	available				
ds005515	seqLearning6target	unavailable				
ds005515	seqLearning8target	unavailable				
ds005515	symbolSearch	caution				
ds005515	symbolSearch	unavailable				
ds005515	symbolSearch	available				
ds004856	Sex	m	male		snomed:248153007	Male
ds004856	Sex	f	female		snomed:248152002	Female
ds004856	Race	5	White/Caucasian			
ds004856	Race	2	Black/African American			
ds004856	Race	6	Other			
ds004856	Race	1	Asian American/Pacific Islander			
ds004856	Race	3	Multiracial			
ds004856	Race	4	Native American			
ds004856	Race	7	Unknown			
ds004856	Ethnicity	0				
ds004856	Ethnicity	1	Hispanic/Latin(o/a)			
ds004856	Ethnicity	n/a		True		
ds004856	EduComp	3	Some college/trade/technical/business school			
ds004856	EduComp	6	Master’s degree			
ds004856	EduComp	4	Bachelor’s degree			
ds004856	EduComp	7	MD/JD/PhD/other advanced degree			
ds004856	EduComp	5	Some graduate work			
ds004856	EduComp	2	High school graduate/GED			
ds004856	EduComp	1	Less than high school graduate			
ds004856	EduComp	n/a		True		
ds004856	MMSE_W1	28				
ds004856	MMSE_W1	29				
ds004856	MMSE_W1	27				
ds004856	MMSE_W1	30				
ds004856	MMSE_W1	26				
ds004856	MMSE_W1	n/a		True		
ds004856	MMSE_W2	30				
ds004856	MMSE_W2	28				
ds004856	MMSE_W2	n/a		True		
ds004856	MMSE_W2	27				
ds004856	MMSE_W2	29				
ds004856	MMSE_W2	26				
ds004856	MMSE_W2	25				
ds004856	MMSE_W3	28				
ds004856	MMSE_W3	n/a		True		
ds004856	MMSE_W3	30				
ds004856	MMSE_W3	29				
ds004856	MMSE_W3	27				
ds004856	MMSE_W3	26				
ds004856	MMSE_W3	24				
ds004856	MMSE_W3	25				
ds005516	release_number	R11				
ds005516	sex	M	Male		snomed:248153007	Male
ds005516	sex	F	Female		snomed:248152002	Female
ds005516	commercial_use	Yes	Subject gave consent to commercial use of data			
ds005516	full_pheno	Yes				
ds005516	full_pheno	No				
ds005516	RestingState	available				
ds005516	RestingState	unavailable				
ds005516	RestingState	caution				
ds005516	DespicableMe	available				
ds005516	DespicableMe	caution				
ds005516	DespicableMe	unavailable				
ds005516	FunwithFractals	available				
ds005516	FunwithFractals	caution				
ds005516	FunwithFractals	unavailable				
ds005516	ThePresent	available				
ds005516	ThePresent	caution				
ds005516	ThePresent	unavailable				
ds005516	DiaryOfAWimpyKid	available				
ds005516	DiaryOfAWimpyKid	caution				
ds005516	DiaryOfAWimpyKid	unavailable				
ds005516	contrastChangeDetection_1	available				
ds005516	contrastChangeDetection_1	caution				
ds005516	contrastChangeDetection_1	unavailable				
ds005516	contrastChangeDetection_2	available				
ds005516	contrastChangeDetection_2	unavailable				
ds005516	contrastChangeDetection_2	caution				
ds005516	contrastChangeDetection_3	available				
ds005516	contrastChangeDetection_3	unavailable				
ds005516	contrastChangeDetection_3	caution				
ds005516	surroundSupp_1	available				
ds005516	surroundSupp_1	caution				
ds005516	surroundSupp_1	unavailable				
ds005516	surroundSupp_2	available				
ds005516	surroundSupp_2	unavailable				
ds005516	surroundSupp_2	caution				
ds005516	seqLearning6target	unavailable				
ds005516	seqLearning8target	unavailable				
ds005516	symbolSearch	available				
ds005516	symbolSearch	caution				
ds005516	symbolSearch	unavailable				
ds004146	age	12				
ds004146	age	9				
ds004146	age	10				
ds004146	age	13				
ds004146	age	11				
ds004146	age	14				
ds004146	age	8				
ds004146	age_ses02	14				
ds004146	age_ses02	n/a		True		
ds004146	age_ses02	11				
ds004146	age_ses02	12				
ds004146	age_ses02	15				
ds004146	age_ses02	10				
ds004146	age_ses02	16				
ds004146	age_ses02	13				
ds004146	sex	M	male		snomed:248153007	Male
ds004146	sex	F	female		snomed:248152002	Female
ds004146	handedness	Right				
ds004146	handedness	Left				
ds004146	ses01_protocol	1b	TSE increase in the number of volumes (50 to 55) to improve hippocampus coverage			
ds004146	ses01_protocol	1d				
ds004146	ses01_protocol	1c	TSE increase in the number of volumes (55 to 60) to improve amygdala coverage			
ds004146	ses01_protocol	1a	Initial session 1 protocol			
ds004146	ses02_protocol	2b	Emotional conflict task increase in the number of volumes (830 to 837)			
ds004146	ses02_protocol	n/a		True		
ds004146	ses02_protocol	2c	MP2RAGE reissue (MP2RAGE_wip925B_VE11C-0p8mm)			
ds004146	ses02_protocol	2a	Initial session 2 protocol			
ds004146	group	n/a		True		
ds004746	zygosity	DZ	dizygotic			
ds004746	zygosity	MZ	monozygotic			
ds004746	zygosity	OS	dizygotic opposite sex			
ds004746	sex	F	female		snomed:248152002	Female
ds004746	sex	M	male		snomed:248153007	Male
ds005143	sex	19				
ds005143	sex	25				
ds005143	sex	18				
ds005143	sex	23				
ds005143	sex	26				
ds005143	sex	24				
ds005143	sex	29				
ds005143	sex	22				
ds005143	sex	31				
ds005143	sex	27				
ds005143	sex	20				
ds005143	sex	30				
ds005143	sex	38				
ds005143	sex	21				
ds005143	sex	35				
ds005143	sex	33				
ds005143	sex	28				
ds005143	sex	37				
ds005143	sex	56				
ds005143	sex	67				
ds005143	sex	48				
ds005143	sex	41				
ds005143	sex	47				
ds005143	sex	57				
ds005143	sex	32				
ds005143	sex	34				
ds005143	sex	59				
ds005143	sex	51				
ds005143	sex	61				
ds005143	sex	53				
ds005143	sex	58				
ds005143	sex	76				
ds005143	sex	60				
ds005143	sex	69				
ds005143	sex	64				
ds005143	sex	52				
ds005143	sex	45				
ds005143	sex	54				
ds005143	sex	39				
ds005143	sex	42				
ds005143	sex	46				
ds005143	sex	49				
ds005143	sex	63				
ds005143	sex	50				
ds005143	sex	40				
ds005143	sex	44				
ds005143	sex	43				
ds005143	sex	62				
ds005143	sex	36				
ds005143	age	M				
ds005143	age	F				
ds005143	age	N/A		True		
ds005143	institution_id	hamburg				
ds005143	institution_id	nw				
ds005143	institution_id	ouhsc				
ds005143	institution_id	stanford				
ds005143	institution_id	unf				
ds005143	institution_id	Zurich				
ds005143	institution_id	geneva				
ds005143	institution_id	leipzig				
ds005143	institution	 University Medical Center Hamburg-Eppendorf				
ds005143	institution	Northwestern University				
ds005143	institution	University of Oklahoma				
ds005143	institution	Stanford University				
ds005143	institution	Centre de recherche de l'Institut Universitaire de Geriatrie de Montreal				
ds005143	institution	Balgrist University Hospital, University of Zurich				
ds005143	institution	Ecole Polytechnique Federale de Lausanne				
ds005143	institution	Max Planck Institute for Human Cognitive and Brain Sciences				
ds005143	manufacturer	Siemens				
ds005143	manufacturer	GE				
ds005143	manufacturers_model_name	Magnetom Prisma Fit 3 Tesla System				
ds005143	manufacturers_model_name	Discovery 750 3 Tesla System				
ds005143	manufacturers_model_name	Signa Premier 3 Tesla System				
ds005143	manufacturers_model_name	Magnetom Trio Tim 3 Tesla System				
ds005143	pathology	HC	Healthy Control			
ds005143	pathology	DCM	Degenerative Cervical Myelopathy (synonymous with CSM - Cervical Spondylotic Myelopathy)			
ds005143	pathology	CSM				
ds005143	pathology	FM	Fibromyalgia			
ds005143	moco_software	SCT	Spinal Cord Toolbox			
ds005143	moco_software	AFNI	Analysis of Functional NeuroImages			
ds005143	moco_software	FSL	FMRIB Software Library			
ds005143	moco_software	FSL & SCT				
ds005143	segmentation_type	Automated	Automated segmentation of the spinal cord			
ds005143	segmentation_type	Manual	Manual segmentation of the spinal cord			
ds005511	release_number	R7				
ds005511	sex	M	Male		snomed:248153007	Male
ds005511	sex	F	Female		snomed:248152002	Female
ds005511	commercial_use	Yes	Subject gave consent to commercial use of data			
ds005511	full_pheno	Yes				
ds005511	full_pheno	No				
ds005511	RestingState	available				
ds005511	RestingState	unavailable				
ds005511	DespicableMe	available				
ds005511	DespicableMe	unavailable				
ds005511	DespicableMe	caution				
ds005511	FunwithFractals	available				
ds005511	FunwithFractals	unavailable				
ds005511	FunwithFractals	caution				
ds005511	ThePresent	available				
ds005511	ThePresent	unavailable				
ds005511	ThePresent	caution				
ds005511	DiaryOfAWimpyKid	available				
ds005511	DiaryOfAWimpyKid	unavailable				
ds005511	DiaryOfAWimpyKid	caution				
ds005511	contrastChangeDetection_1	available				
ds005511	contrastChangeDetection_1	unavailable				
ds005511	contrastChangeDetection_1	caution				
ds005511	contrastChangeDetection_2	available				
ds005511	contrastChangeDetection_2	unavailable				
ds005511	contrastChangeDetection_2	caution				
ds005511	contrastChangeDetection_3	available				
ds005511	contrastChangeDetection_3	unavailable				
ds005511	contrastChangeDetection_3	caution				
ds005511	surroundSupp_1	available				
ds005511	surroundSupp_1	unavailable				
