participant_id	treatment	sex	mouse_strain	RRB
sub-01	EE	F	C58	152
sub-02	SH	M	C58	1931
sub-03	EE	F	C58	144
sub-04	SH	M	C58	574
sub-05	EE	F	C58	158
sub-06	EE	F	C58	307
sub-07	SH	M	C58	6485
sub-08	EE	M	C58	540
sub-09	EE	M	C58	213
sub-10	EE	M	C58	1531
sub-11	SH	F	C58	10454
sub-12	SH	F	C58	16683
sub-13	SH	F	C58	16822
sub-14	SH	F	C58	4043
sub-15	SH	F	C58	14378
sub-16	SH	M	C58	9890
sub-17	SH	M	C58	15316
sub-18	SH	M	C58	1419
sub-19	SH	M	C58	18178
sub-20	SH	M	C58	657
sub-21	SH	M	C58	11095
sub-22	SH	M	C58	16790
sub-23	EE	F	C57	174
sub-24	SH	M	C57	190
sub-25	EE	F	C57	93
sub-26	EE	F	C57	127
sub-27	SH	M	C57	282
sub-28	EE	F	C57	340
sub-29	SH	M	C57	1171
sub-30	SH	F	C57	785
sub-31	SH	F	C57	2169
sub-32	SH	F	C57	1671
sub-33	SH	F	C57	442
sub-34	SH	F	C57	1324
sub-35	SH	F	C57	1002
sub-36	EE	M	C57	164
sub-37	EE	M	C57	7
sub-38	EE	M	C57	7
sub-39	EE	M	C57	13
sub-40	EE	M	C57	74
sub-41	EE	F	C57	76
sub-42	EE	F	C57	478
sub-43	EE	F	C57	93
sub-44	EE	F	C57	318
sub-45	SH	F	C57	87
sub-46	SH	F	C57	343
sub-47	SH	F	C57	415
sub-48	SH	F	C57	47
sub-49	SH	F	C57	231
sub-50	SH	M	C57	348
sub-51	SH	M	C57	293
sub-52	SH	M	C57	40
sub-53	SH	M	C57	595
sub-54	EE	M	C57	92
sub-55	EE	M	C57	100
sub-56	EE	M	C57	44
sub-57	EE	M	C57	22
sub-58	EE	M	C58	718
sub-59	EE	M	C58	471
sub-60	EE	M	C58	506
sub-61	EE	M	C58	325
sub-62	EE	F	C57	385
sub-63	EE	F	C57	481
sub-64	SH	F	C58	20351
sub-65	SH	F	C58	11700
sub-66	SH	F	C58	18709
sub-67	EE	F	C57	929
sub-68	EE	F	C57	246
sub-69	SH	F	C58	24991
sub-70	EE	M	C58	890
sub-71	EE	M	C58	1467
sub-72	EE	M	C58	573
sub-73	EE	F	C58	359
sub-74	EE	F	C58	205
sub-75	EE	F	C58	1197
sub-76	EE	F	C58	1859
sub-77	SH	F	C58	21298
sub-78	SH	F	C58	24096
