participant_id	age	gender	race	hispanic/latino
sub-011	24	M	Asian	0
sub-012	24	M	Asian	0
sub-013	22	M	Asian	0
sub-018	21	M	White	0
sub-019	26	M	Asian	0
sub-020	19	F	Asian	0
sub-021	27	F	Asian	0
sub-022	19	F	Asian	0
sub-023	18	F	White	0
sub-024	19	M	White	0
sub-025	32	M	Black	0
sub-026	40	M	White	0
sub-028	39	M	White	0
sub-032	19	F	White	0
sub-033	20	M	White	1
sub-034	18	F	Asian	0
sub-037	38	M	White	0
sub-039	23	F	White	1
sub-042	20	M	Asian	0
sub-045	29	F	Black	0
sub-047	28	F	NA	1
sub-048	32	F	White	0
sub-049	20	M	White	0
sub-050	26	M	White	0
sub-052	32	F	White	1
sub-053	35	M	White	0
sub-054	29	M	Black	0
sub-055	28	M	White	0
sub-056	36	F	White	0
sub-057	22	F	White	0
sub-058	26	F	NA	1
sub-059	29	F	White	1
sub-060	30	F	White	0
sub-061	27	F	White	0
sub-062	24	F	White	1
sub-064	40	M	White	0
sub-065	23	F	Asian	0
sub-066	26	M	White	1
sub-069	25	F	Black	0
sub-070	33	F	White	1
sub-071	35	M	Asian	0
sub-072	22	F	White	0
sub-073	37	F	Asian	0
sub-074	22	F	White	0
sub-075	33	F	Black	0
sub-078	23	M	White	0
sub-081	24	F	White	0
sub-083	20	M	White	0
sub-084	29	M	White	0
sub-085	18	M	White	0
sub-086	24	M	White	0
sub-087	22	M	White	0
sub-090	20	M	Asian	0
sub-092	21	M	White	0
sub-094	27	M	White	0
sub-095	39	F	White	0
sub-096	21	F	Asian	0
sub-097	29	M	Asian	0
sub-098	21	M	White	0
sub-099	34	M	White	0
sub-100	22	M	White	0
sub-101	22	M	White	0
sub-102	26	M	White	0
sub-103	34	M	White	0
sub-104	26	M	Asian	0
sub-105	21	M	White	0
sub-106	21	F	White	0
sub-108	38	M	Black	1
sub-110	34	F	White	0
sub-111	33	F	White	0
sub-113	26	M	Asian	0
sub-114	31	M	Black	0
sub-116	23	F	Black	0
sub-117	24	F	White	1
sub-118	23	M	Asian	0
sub-119	18	F	White	0
sub-120	34	M	White	0
sub-122	34	F	Asian	0
sub-124	29	M	Asian	0
sub-125	27	M	Black	0
sub-127	33	M	Black	0
sub-128	29	M	NA	NA
sub-129	20	F	Black	0
sub-131	35	F	White	0
sub-132	29	F	Black	0
sub-134	36	M	White	1
sub-135	25	F	Asian	0
sub-136	21	M	White	0
sub-139	38	F	White	0
sub-140	26	M	Asian	0
